"MACID","PARTNUM","REVISION","WORKNO","LINEID","OPERTOR","BARCODE","TRESULT","TESTDATE","TESTTIME","FL01","FL02","FL03","FL04","FL05","FL06","FL07","FL08","FL09","FL10","SDATE","STIME","ITSDATE","ITSTIME","FPATH"
"YM08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","PASS","20170420","030228","OK","20170420","030430","764099","","","","","","","20170420","030228","20170420","030432","FHAPCA9/20170419N/YM08L/OQC_FLEX_POR_AutoAlign_tester764099_2.1.10_N.csv"
"YM08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","024757","BaselineLoad_Drift_OOS","20170420","024954","764074","","","","","","","20170420","024757","20170420","024956","FHAPCA9/20170419N/YM08R/OQC_FLEX_POR_AutoAlign_tester764074_2.1.10_N.csv"
"YM08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","024431","BaselineLoad_Drift_OOS","20170420","024625","764099","","","","","","","20170420","024431","20170420","024627","FHAPCA9/20170419N/YM08L/OQC_FLEX_POR_AutoAlign_tester764099_2.1.10_N.csv"
"YM08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","024343","BaselineLoad_Drift_OOS","20170420","024540","764099","","","","","","","20170420","024343","20170420","024542","FHAPCA9/20170419N/YM08L/OQC_FLEX_POR_AutoAlign_tester764099_2.1.10_N.csv"
"YM08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","023357","BaselineLoad_Drift_OOS","20170420","023549","764099","","","","","","","20170420","023357","20170420","023551","FHAPCA9/20170419N/YM08L/OQC_FLEX_POR_AutoAlign_tester764099_2.1.10_N.csv"
"YM08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","023209","BaselineLoad_Drift_OOS","20170420","023400","764074","","","","","","","20170420","023209","20170420","023402","FHAPCA9/20170419N/YM08R/OQC_FLEX_POR_AutoAlign_tester764074_2.1.10_N.csv"
"YM08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","023104","BaselineLoad_Drift_OOS","20170420","023256","764074","","","","","","","20170420","023104","20170420","023257","FHAPCA9/20170419N/YM08R/OQC_FLEX_POR_AutoAlign_tester764074_2.1.10_N.csv"
"YM08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","021959","BaselineLoad_Drift_OOS","20170420","022158","764074","","","","","","","20170420","021959","20170420","022200","FHAPCA9/20170419N/YM08R/OQC_FLEX_POR_AutoAlign_tester764074_2.1.10_N.csv"
"YM08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","021849","BaselineLoad_Drift_OOS","20170420","022041","764099","","","","","","","20170420","021849","20170420","022042","FHAPCA9/20170419N/YM08L/OQC_FLEX_POR_AutoAlign_tester764099_2.1.10_N.csv"
"YM08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","021755","BaselineLoad_Drift_OOS","20170420","021947","764099","","","","","","","20170420","021755","20170420","021949","FHAPCA9/20170419N/YM08L/OQC_FLEX_POR_AutoAlign_tester764099_2.1.10_N.csv"
"LTK08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","PASS","20170420","014620","OK","20170420","014801","763020","","","","","","","20170420","014620","20170420","014802","FHAPCA9/20170419N/LTK08R/OQC_FLEX_POR_AutoAlign_tester763020_2.1.10_N.csv"
"LTK08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","014519","BaselineLoad_Drift_OOS","20170420","014655","763020","","","","","","","20170420","014519","20170420","014657","FHAPCA9/20170419N/LTK08R/OQC_FLEX_POR_AutoAlign_tester763020_2.1.10_N.csv"
"LTK08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","014025","BaselineLoad_Drift_OOS","20170420","014204","860025","","","","","","","20170420","014025","20170420","014206","FHAPCA9/20170419N/LTK08L/OQC_FLEX_POR_AutoAlign_tester860025_2.1.10_N.csv"
"LTK08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","013822","BaselineLoad_Drift_OOS","20170420","013955","763020","","","","","","","20170420","013822","20170420","013956","FHAPCA9/20170419N/LTK08R/OQC_FLEX_POR_AutoAlign_tester763020_2.1.10_N.csv"
"LTK08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","013730","BaselineLoad_Drift_OOS","20170420","013902","763020","","","","","","","20170420","013730","20170420","013903","FHAPCA9/20170419N/LTK08R/OQC_FLEX_POR_AutoAlign_tester763020_2.1.10_N.csv"
"LTK08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","PASS","20170420","011832","OK","20170420","012011","763020","","","","","","","20170420","011832","20170420","012012","FHAPCA9/20170419N/LTK08R/OQC_FLEX_POR_AutoAlign_tester763020_2.1.10_N.csv"
"LTK08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","FAIL","20170420","011718","BaselineLoad_Drift_OOS","20170420","011847","763020","","","","","","","20170420","011718","20170420","011849","FHAPCA9/20170419N/LTK08R/OQC_FLEX_POR_AutoAlign_tester763020_2.1.10_N.csv"
"YM08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","PASS","20170420","010650","OK","20170420","010848","764074","","","","","","","20170420","010650","20170420","010850","FHAPCA9/20170419N/YM08R/OQC_FLEX_POR_AutoAlign_tester764074_2.1.10_N.csv"
"LTK08L","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","PASS","20170420","010543","OK","20170420","010727","860025","","","","","","","20170420","010543","20170420","010728","FHAPCA9/20170419N/LTK08L/OQC_FLEX_POR_AutoAlign_tester860025_2.1.10_N.csv"
"YM08R","FHAPCA9","","WJB-H40030","Z14-602","F7034541","G5Y7163B01SHP1953ZM5","PASS","20170420","002135","OK","20170420","002339","764074","","","","","","","20170420","002135","20170420","002340","FHAPCA9/20170419N/YM08R/OQC_FLEX_POR_AutoAlign_tester764074_2.1.10_N.csv"
